TaxiID,Lon,Lat,streetMID,disFNode,oneway,pLon,pLat
10508,114.215147,30.587256,3739,574.895349764936,F,114.215157353472,30.5872728331151
10531,114.319147,30.635782,6210,975.43433818034,F,114.319274565323,30.6357038918118
10533,114.378777,30.467686999999998,42,570.30870935185,F,114.378817661459,30.467587528905
10538,114.413495,30.631172999999997,6067,428.151918378532,F,114.413407133607,30.6308241263466
10566,114.27582199999999,30.490902000000002,538,392.485520540227,F,114.275905233489,30.4908606493906
10567,114.31286200000001,30.549521999999996,2277,341.880158696326,F,114.312862233179,30.5495220349502
10569,114.34305800000001,30.510036,1029,323.435384707106,F,114.343061740552,30.510034496564
10571,114.36146200000002,30.51537,1091,645.662794036847,F,114.362033975808,30.5152980707324
10577,114.29575700000001,30.53234,1547,475.321501036212,F,114.295964521051,30.5323390746694
10584,114.246182,30.615342,5507,16.2275376496045,F,114.246195160331,30.6153119981625
10608,114.291858,30.529296999999996,1552,176.462106280375,B,114.291981380732,30.5295207011404
10612,114.25013,30.642457,7426,59.8740037996094,F,114.250130830001,30.6424561245062
10624,114.32426799999999,30.483107,474,68.697781764726,F,114.324351922988,30.4839122948551
10662,114.296329,30.544502,2034,24.6459105034156,F,114.296323418889,30.5445027889189
10666,114.237482,30.609422,5146,37.5234756383327,F,114.237542356376,30.6092645979911
10975,114.224427,30.567671,2783,18.9672372336981,B,114.224470897284,30.5676624072099
10977,114.316445,30.546215000000004,2079,247.591864668398,F,114.316445804557,30.5462063133913
10979,114.29618300000001,30.557507,2499,188.347715041833,F,114.296194152845,30.5576059293506
10982,114.28715,30.598695000000003,4500,125.300273300022,F,114.286337873218,30.5982086923636
10987,114.351228,30.571808,2975,433.669394575432,B,114.351199679802,30.5717779824938
10994,114.27163999999999,30.547884999999997,2135,220.036317426537,F,114.271580474185,30.5479928430955
10996,114.40788400000001,30.645559999999996,7903,3400.88260460059,F,114.407873839915,30.6455531288396
10999,114.316895,30.503004999999998,752,300.010831772408,B,114.316897791997,30.5030573145254
11000,114.31363600000002,30.516391,1154,122.852645618607,B,114.313692409424,30.5164083844457
11004,114.25149499999999,30.644588,7424,101.804510284102,F,114.252047919424,30.6439040493872
